Task Name,Rooms (drop down)
Cobwebs,Other side Office
Clean light switches,Other side Office
Mop floors,Other side Office
"Clean the baseboards, and chair rails",Other side Office
Electronics dust,Other side Office
Remove all the trash,Other side Office
Light switch,Other side Office toilet
Tiles,Other side Office toilet
Toilet doors,Other side Office toilet
Temperature switch,Other side Office toilet
Sill above toilet and urinal,Other side Office toilet
Refill Toilet paper,Other side Office toilet
Toilet,Other side Office toilet
Urinal,Other side Office toilet
Toilet buttons,Other side Office toilet
Sink,Other side Office toilet
Broom floor,Other side Office toilet
Mop Floor,Other side Office toilet
Tiles,Truck guys toilet
Sill above toilet and urinal,Truck guys toilet
Light switch,Truck guys toilet
Toilet doors,Truck guys toilet
Temperature switch,Truck guys toilet
Toilet,Truck guys toilet
Sink,Truck guys toilet
Urinal,Truck guys toilet
Toilet buttons,Truck guys toilet
Refill Toilet paper,Truck guys toilet
Mop Floor,Truck guys toilet
Broom floor,Truck guys toilet
